,text,start,end
176,"results,",56.38,56.64
177,but,56.84,56.84
178,a,56.84,57.02
179,lot,57.02,57.14
180,of,57.14,57.14
181,those,57.14,57.36
182,"ideas,",57.36,57.9
183,a,58.04,58.08
184,lot,58.08,58.14
185,of,58.14,58.24
186,those,58.24,58.44
187,search,58.44,58.6
188,routes,58.6,58.88
189,came,58.88,59.28
190,from,59.28,59.54
191,different,59.54,59.86
192,"places,",59.86,60.24
193,and,60.42,60.64
194,this,60.64,60.86
195,eliminates,60.86,61.28
196,what,61.28,61.52
197,could,61.52,61.68
198,potentially,61.68,62.08
199,be,62.08,62.36
200,of,62.36,62.54
201,a,62.54,62.82
202,bottleneck,62.82,63.12
203,of,63.12,63.46
204,"sorts,",63.46,63.66
205,if,63.78,64.02
206,all,64.02,64.3
207,of,64.3,64.46
208,the,64.46,64.92
209,information,64.92,64.92
210,you,64.92,65.14
211,needed,65.14,65.36
212,had,65.36,65.54
213,to,65.54,65.68
214,come,65.68,65.84
215,from,65.84,66.14
216,one,66.14,66.56
217,specific,66.56,67.06
218,server,67.06,67.4
219,that,67.4,67.58
220,might,67.58,67.76
221,very,67.76,67.98
222,well,67.98,68.12
223,be,68.12,68.4
224,busy,68.4,68.6
225,when,68.6,69.14
226,you,69.14,69.32
227,have,69.32,69.52
228,that,69.52,69.84
229,question.,69.84,70.24
230,Nick,70.56,70.76
231,"asks,",70.76,71.16
232,will,71.52,71.62
233,computer,71.62,71.94
234,programming,71.94,72.46
235,jobs,72.46,72.84
236,be,72.84,73.06
237,taken,73.06,73.4
238,over,73.4,73.7
239,by,73.7,74.02
240,AI,74.02,74.34
241,within,74.34,74.56
242,the,74.56,74.98
243,next,74.98,75.02
244,five,75.02,75.34
245,to,75.34,75.46
246,10,75.46,75.68
247,years?,75.68,75.96
248,This,76.06,76.24
249,is,76.24,76.42
250,such,76.42,76.62
251,a,76.62,76.72
252,frequently,76.72,76.98
253,asked,76.98,77.28
254,question,77.28,77.56
255,"nowadays,",77.56,77.92
256,and,77.94,78.2
257,I,78.2,78.26
258,don't,78.26,78.46
259,think,78.46,78.76
260,the,78.76,78.98
261,answer,78.98,79.2
262,will,79.2,79.46
263,be,79.46,79.7
264,"yes,",79.7,80.16
265,and,80.16,80.48
266,I,80.48,80.62
267,think,80.62,80.76
268,we've,80.76,80.96
269,seen,80.96,81.14
270,evidence,81.14,81.46
271,of,81.46,81.66
272,this,81.66,81.88
273,"already,",81.88,82.28
274,in,82.38,82.52
275,that,82.52,82.76
276,early,82.76,83.0
277,on,83.0,83.22
278,when,83.22,83.34
279,people,83.34,83.56
280,were,83.56,83.74
281,creating,83.74,84.08
282,"websites,",84.08,84.56
283,they,84.76,84.8
284,were,84.8,85.0
285,literally,85.0,85.36
286,writing,85.36,85.62
287,out,85.62,86.02
288,code,86.02,86.26
289,in,86.26,86.42
290,a,86.42,86.7
291,language,86.7,86.7
292,called,86.7,87.0
293,HTML,87.0,87.46
294,by,87.46,87.92
295,hand.,87.92,88.16
296,But,88.24,88.34
297,then,88.34,88.52
298,of,88.52,88.64
299,"course,",88.64,88.9
300,software,88.98,89.2
301,came,89.2,89.52
302,along,89.52,89.84
303,tools,89.84,90.12
304,like,90.12,90.44
305,Dreamweaver,90.44,90.96
306,that,90.96,91.16
307,you,91.16,91.3
308,could,91.3,91.44
309,download,91.44,91.66
310,on,91.66,91.88
311,your,91.88,92.0
312,own,92.0,92.16
313,computer,92.16,92.44
314,that,92.44,92.64
315,would,92.64,92.86
316,generate,92.86,93.12
317,some,93.12,93.36
318,of,93.36,93.42
319,that,93.42,93.68
320,same,93.68,93.82
321,code,93.82,94.06
322,for,94.06,94.32
323,you.,94.32,94.42
324,More,94.52,94.7
325,recently,94.7,95.1
326,"though,",95.1,95.42
327,now,95.42,95.58
328,you,95.58,95.66
329,can,95.66,95.78
330,just,95.78,96.02
331,sign,96.02,96.2
332,up,96.2,96.42
333,for,96.42,96.58
334,"websites,",96.58,96.9
335,like,97.22,97.26
336,Squarespace,97.26,97.78
337,and,97.78,98.02
338,Wix,98.02,98.26
339,and,98.26,98.48
340,"others,",98.48,98.72
341,whereby,98.92,99.14
342,click,99.14,99.5
343,click,99.5,99.76
344,click,99.76,99.88
345,and,99.88,100.02
346,the,100.02,100.16
347,website,100.16,100.36
348,is,100.36,100.66
349,generated,100.66,101.0
350,for,101.0,101.64
351,"you,",101.64,101.96
352,so,102.08,102.2
353,I,102.2,102.3
354,dare,102.3,102.46
355,say,102.46,102.68
356,certainly,102.68,103.14
357,in,103.14,103.38
358,some,103.38,103.6
359,domains,103.6,104.08
360,that,104.08,104.56
361,AI,104.56,104.82
362,is,104.82,105.0
363,really,105.0,105.18
364,just,105.18,105.4
365,an,105.4,105.54
366,evolution,105.54,105.88
367,of,105.88,106.12
368,that,106.12,106.4
369,"trend,",106.4,106.64
370,and,106.78,107.0
371,it,107.0,107.18
372,hasn't,107.18,107.44
373,put,107.44,107.78
374,humans,107.78,108.02
375,out,108.02,108.24
376,of,108.24,108.48
377,business,108.48,108.68
378,as,108.68,108.96
379,much,108.96,109.14
380,as,109.14,109.28
381,it,109.28,109.54
382,has,109.54,109.74
383,made,109.74,110.0
384,you,110.0,110.26
385,and,110.26,110.44
386,I,110.44,110.84
387,much,110.84,111.08
388,more,111.08,111.44
389,productive.,111.44,111.92
390,AI,111.92,112.42
391,I,112.42,112.62
392,think,112.62,112.88
393,and,112.88,113.02
394,the,113.02,113.12
395,ability,113.12,113.38
396,soon,113.38,113.86
397,to,113.86,114.1
398,be,114.1,114.18
399,able,114.18,114.36
400,to,114.36,114.54
401,program,114.54,114.86
402,with,114.86,115.16
403,natural,115.16,115.6
404,language,115.6,116.04
405,is,116.04,116.34
406,just,116.34,116.54
407,going,116.54,116.72
408,to,116.72,116.8
409,enhance,116.8,117.22
410,what,117.22,117.5
411,you,117.5,117.6
412,and,117.6,117.76
413,I,117.76,118.14
414,can,118.14,118.42
415,already,118.42,118.74
416,do,118.74,119.0
417,logically,119.0,119.34
418,but,119.34,119.62
419,much,119.62,119.86
420,more,119.86,120.08
421,mechanically.,120.08,120.56
422,And,120.78,120.86
423,I,120.86,120.94
424,think,120.94,121.16
425,"too,",121.16,121.4
426,it's,121.52,121.62
427,worth,121.62,121.78
428,considering,121.78,122.14
429,that,122.14,122.66
430,there's,122.66,122.88
431,just,122.88,123.16
432,so,123.16,123.34
433,many,123.34,123.6
434,bugs,123.6,123.98
435,or,123.98,124.28
436,mistakes,124.28,124.7
437,in,124.7,125.06
438,software,125.06,125.22
439,in,125.22,125.38
440,the,125.38,125.48
441,"world,",125.48,125.68
442,and,125.68,125.76
443,there's,125.76,125.94
444,so,125.94,126.1
445,many,126.1,126.34
446,features,126.34,126.74
447,that,126.74,127.14
448,humans,127.14,127.34
449,wish,127.34,127.92
450,existed,127.92,128.34
451,in,128.34,128.68
452,products,128.68,128.92
453,present,128.92,129.36
454,in,129.36,129.64
455,future,129.64,129.9
456,that,129.9,130.36
457,are,130.36,130.62
458,to,130.62,130.84
459,do,130.84,131.06
460,"this,",131.06,131.3
461,so,131.36,131.44
462,to,131.44,131.58
463,"speak,",131.58,131.72
464,is,131.92,132.08
465,way,132.08,132.42
466,longer,132.42,132.78
467,than,132.78,132.98
468,will,132.98,133.24
469,ever,133.24,133.52
470,have,133.52,133.82
471,time,133.82,134.16
472,to,134.16,134.46
473,finish,134.46,134.68
474,in,134.68,134.88
475,our,134.88,135.08
476,"lifetimes,",135.08,135.58
477,and,135.58,135.82
478,so,135.82,135.92
479,I,135.92,136.1
480,think,136.1,136.3
481,the,136.3,136.6
482,prospect,136.6,137.1
483,of,137.1,137.34
484,having,137.34,137.44
485,an,137.44,137.72
486,artificial,137.72,138.1
487,intelligence,138.1,138.82
488,boost,138.82,139.38
489,our,139.38,139.66
490,productivity,139.66,140.14
491,and,140.14,140.58
492,work,140.58,140.84
493,alongside,140.84,141.42
494,"us,",141.42,142.02
495,so,142.16,142.18
496,to,142.18,142.32
497,"speak,",142.32,142.48
498,is,142.68,142.7
499,we,142.7,142.84
500,try,142.84,143.0
501,to,143.0,143.16
502,solve,143.16,143.34
503,"problems,",143.34,143.7
504,it's,144.1,144.22
505,just,144.22,144.34
506,going,144.34,144.48
507,to,144.48,144.5
508,mean,144.5,144.72
509,that,144.72,144.94
510,you,144.94,145.22
511,and,145.22,145.5
512,I,145.5,145.74
513,in,145.74,145.82
514,the,145.82,146.2
515,world,146.2,146.2
516,together,146.2,146.74
517,can,146.74,146.84
518,solve,146.84,147.42
519,so,147.42,147.48
520,many,147.48,147.7
521,more,147.7,147.88
522,problems,147.88,148.28
523,and,148.28,148.5
524,move,148.5,148.82
525,forward,148.82,149.16
526,together,149.16,149.78
527,at,149.78,149.92
528,any,149.92,149.98
529,even,150.0,150.32
530,faster,150.32,150.66
531,rate.,150.66,151.34
532,All,151.44,151.62
533,"right,",151.62,151.74
534,next,151.92,151.96
535,up,151.96,152.2
536,Sophia,152.2,152.68
537,who,152.68,152.92
538,"asks,",152.92,153.32
539,how,153.5,153.5
540,do,153.5,153.82
541,microchips,153.82,154.3
542,even,154.3,154.64
543,work?,154.64,154.96
544,It's,155.18,155.22
545,just,155.22,155.52
546,a,155.52,155.78
547,green,155.78,156.04
548,piece,156.04,156.26
549,of,156.26,156.5
550,metal.,156.5,156.68
551,"Well,",156.78,157.0
552,here,157.04,157.2
553,for,157.2,157.44
554,"instance,",157.44,157.66
555,we,157.92,157.92
556,have,157.92,158.58
557,a,158.58,158.72
558,whole,158.72,158.92
559,bunch,158.92,159.12
560,of,159.12,159.5
561,microchips,159.5,159.84
562,on,159.84,160.32
563,what's,160.32,160.48
564,called,160.48,160.7
565,a,160.7,160.9
566,logic,160.9,161.16
567,board,161.16,161.4
568,or,161.4,161.56
569,sometimes,161.56,161.86
570,known,161.86,162.06
571,as,162.06,162.2
572,a,162.2,162.5
573,motherboard.,162.5,162.66
574,There's,162.84,163.0
575,a,163.0,163.16
576,lot,163.16,163.32
577,of,163.32,163.76
578,ports,163.76,164.14
579,that,164.14,164.34
580,you,164.34,164.44
581,might,164.44,164.58
582,be,164.58,164.82
583,familiar,164.82,165.06
584,"with,",165.06,165.38
585,for,165.42,165.54
586,"instance,",165.54,165.86
587,like,166.0,166.1
588,here's,166.1,166.36
589,some,166.36,166.62
590,ports,166.62,166.82
591,for,166.82,167.16
592,"audio,",167.16,167.44
593,here's,167.72,168.02
594,some,168.02,168.12
595,ports,168.12,168.28
596,for,168.28,168.54
597,"networking,",168.54,168.98
598,here's,169.2,169.42000000000002
599,some,169.42000000000002,169.5
600,ports,169.5,169.66
601,for,169.66,169.96
602,USB,169.96,170.32
603,and,170.32,170.6
604,some,170.6,170.8
605,other,170.8,171.02
606,devices,171.02,171.36
607,as,171.36,171.66
608,well.,171.66,171.92000000000002
609,And,172.07999999999998,172.26
610,those,172.26,172.56
611,"ports,",172.56,172.92000000000002
612,"meanwhile,",172.98,173.28
613,are,173.28,173.62
614,connected,173.62,173.94
615,to,173.94,174.32
616,lots,174.32,174.48
617,of,174.48,174.64
618,different,174.64,175.0
619,chips,175.0,175.24
620,on,175.24,175.4
621,this,175.4,175.62
622,board,175.62,175.98
623,that,175.98,176.34
624,know,176.34,176.56
625,how,176.56,176.68
626,to,176.68,176.8
627,interpret,176.8,177.07999999999998
628,the,177.07999999999998,177.56
629,signals,177.56,177.88
630,from,177.88,178.26
631,those,178.26,178.57999999999998
632,ports.,178.57999999999998,178.88
633,And,178.88,179.26
634,perhaps,179.26,179.48
635,the,179.48,179.76
636,biggest,179.76,180.16
637,chip,180.16,180.4
638,on,180.4,180.56
639,this,180.56,180.94
640,motherboard,180.94,181.2
641,tends,181.2,181.5
642,to,181.5,181.62
643,be,181.62,181.7
644,this,181.7,181.88
645,thing,181.88,182.06
646,here,182.06,182.3
647,called,182.3,182.52
648,the,182.52,182.76
649,CPU,182.76,183.06
650,or,183.06,183.34
651,the,183.34,183.64
652,central,183.64,184.12
653,processing,184.12,184.6
654,"unit,",184.6,184.9
655,which,184.94,185.06
656,is,185.06,185.2
657,really,185.2,185.4
658,the,185.4,185.66
659,brains,185.66,185.94
660,of,185.94,186.12
661,the,186.12,186.26
662,computer.,186.26,186.54
663,And,186.66,186.8
664,what,186.8,186.96
665,you,186.96,187.14
666,can't,187.14,187.52
667,necessarily,187.52,187.94
668,quite,187.94,188.26
669,"see,",188.26,188.46
670,because,188.54,188.62
671,most,188.62,188.82
672,of,188.82,188.94
673,this,188.94,189.1
674,is,189.1,189.52
675,actually,189.52,189.56
676,paint,189.56,189.8
677,and,189.8,189.96
678,not,189.96,190.16
679,"traces,",190.16,190.44
680,but,190.5,190.6
681,if,190.6,190.84
682,I,190.84,190.9
683,flip,190.9,191.04
684,this,191.04,191.28
685,"around,",191.28,191.6
686,you'll,191.64,191.96
687,actually,191.96,192.46
688,see,192.46,192.74
689,in,192.74,192.86
690,the,192.86,193.02
691,right,193.02,193.38
692,light,193.38,193.82
693,and,193.82,194.14
694,with,194.14,194.34
695,the,194.34,194.44
696,right,194.44,194.72
697,"angle,",194.72,195.04
698,a,195.42000000000002,195.52
699,whole,195.52,195.68
700,bunch,195.68,195.88
701,of,195.88,196.16
702,traces,196.16,196.68
703,running,196.68,197.02
704,"up,",197.02,197.36
705,"down,",197.4,197.64
706,left,197.64,197.82
707,and,197.82,197.98
708,right,197.98,198.16
709,on,198.16,198.32
710,this,198.32,198.52
711,logic,198.52,198.78
712,board,198.78,199.02
713,that's,199.02,199.64
714,connecting,199.64,199.64
715,all,199.64,199.98
716,of,199.98,200.07999999999998
717,these,200.07999999999998,200.24
718,various,200.24,200.6
719,microchips.,200.6,201.24
720,And,201.28,201.48
721,by,201.48,201.74
722,"trace,",201.74,201.98
723,I,202.06,202.12
724,mean,202.12,202.32
725,a,202.32,202.7
726,tiny,202.7,203.04
727,little,203.04,203.5
728,wire,203.5,203.84
729,that's,203.84,204.1
730,been,204.1,204.34
731,etched,204.34,204.54
732,into,204.54,204.92000000000002
733,the,204.92000000000002,205.18
734,top,205.18,205.36
735,or,205.36,205.5
736,the,205.5,205.68
737,bottom,205.68,205.84
738,of,205.84,206.02
739,this,206.02,206.22
740,circuit,206.22,206.4
741,board,206.4,206.6
742,that,206.6,206.82
743,connects,206.82,207.16
744,two,207.16,207.5
745,ports,207.5,207.86
746,there,207.86,208.22
747,on.,208.22,208.4
748,Now,208.4,208.68
749,what,208.68,208.82
750,might,208.82,208.98
751,these,208.98,209.32
752,microchips,209.32,209.54
753,be,209.54,209.8
754,doing?,209.8,210.07999999999998
755,"Well,",210.34,210.4
756,"again,",210.5,210.68
757,they,210.78,210.86
758,might,210.86,211.04
759,be,211.04,211.28
760,simply,211.28,211.48
761,interpreting,211.48,212.04
762,signals,212.04,212.5
763,that,212.5,212.66
764,are,212.66,212.82
765,coming,212.82,213.0
766,in,213.0,213.18
767,from,213.18,213.32
768,these,213.32,213.52
769,ports.,213.52,213.82
770,"Two,",214.18,214.42000000000002
771,they,214.44,214.54000000000002
772,might,214.54000000000002,214.68
773,be,214.68,214.86
774,performing,214.86,215.16
775,mathematical,215.16,215.72
776,operations,215.72,216.32
777,doing,216.32,216.84
778,something,216.84,217.22
779,with,217.22,217.44
780,those,217.44,217.72
781,signals,217.72,218.04000000000002
782,in,218.04000000000002,218.22
783,order,218.22,218.36
784,to,218.36,218.62
785,convert,218.62,218.94
786,input,218.94,219.3
787,into,219.3,219.66
788,output.,219.66,220.07999999999998
789,Or,220.32,220.51999999999998
790,they,220.51999999999998,220.64
791,might,220.64,220.8
792,just,220.8,220.98000000000002
793,be,220.98000000000002,221.22
794,storing,221.22,221.57999999999998
795,information,221.57999999999998,222.12
796,ultimately.,222.12,222.64
797,In,222.78,222.86
798,"fact,",222.86,223.04000000000002
799,there's,223.04000000000002,223.24
800,all,223.24,223.45999999999998
801,different,223.45999999999998,223.64
802,types,223.64,223.94
803,of,223.94,224.18
804,memory,224.18,224.5
805,on,224.5,224.7
806,a,224.7,224.8
807,logic,224.8,225.04000000000002
808,board,225.04000000000002,225.26
809,like,225.26,225.51999999999998
810,"this,",225.51999999999998,225.9
811,be,226.01999999999998,226.04000000000002
812,it,226.04000000000002,226.3
813,RAM,226.3,226.64
814,or,226.64,227.0
815,ROM,227.0,227.38
816,or,227.38,227.54000000000002
817,the,227.54000000000002,227.76
818,like.,227.76,227.95999999999998
819,And,228.07999999999998,228.14
820,so,228.14,228.38
821,some,228.38,228.56
822,of,228.56,228.64
823,those,228.64,228.88
824,chips,228.88,229.18
825,might,229.18,229.5
826,very,229.5,229.68
827,well,229.68,229.8
828,be,229.8,230.06
829,storing,230.06,230.34
830,information,230.34,230.9
831,for,230.9,231.14
832,as,231.14,231.3
833,long,231.3,231.45999999999998
834,as,231.45999999999998,231.57999999999998
835,the,231.57999999999998,231.74
836,computers,231.74,231.98000000000002
837,plugged,231.98000000000002,232.36
838,in,232.36,232.7
839,or,232.7,232.9
840,in,232.9,233.12
841,some,233.12,233.42000000000002
842,"cases,",233.42000000000002,233.66
843,depending,233.78,233.98000000000002
844,on,233.98000000000002,234.14
845,the,234.14,234.26
846,"device,",234.26,234.54000000000002
847,even,234.86,235.3
848,when,235.3,235.45999999999998
849,the,235.45999999999998,235.66
850,power,235.66,235.78
851,goes,235.78,236.07999999999998
852,off.,236.07999999999998,236.5
853,All,236.5,236.72
854,"right,",236.72,236.88
855,"next,",236.92000000000002,237.16
856,a,237.28,237.32
857,question,237.32,237.51999999999998
858,from,237.51999999999998,237.76
859,NKHE.,237.76,238.38
860,So,238.62,238.76
861,if,238.76,238.9
862,anyone,238.9,239.18
863,can,239.18,239.42000000000002
864,learn,239.42000000000002,239.68
865,"coding,",239.68,240.18
866,what,240.38,240.4
867,do,240.4,240.56
868,computer,240.56,240.88
869,scientists,240.88,241.34
870,do,241.34,241.62
871,for,241.62,241.88
872,four,241.88,242.2
873,years,242.2,242.48000000000002
874,in,242.48000000000002,242.76
875,university?,242.76,243.28
876,Typically,243.45999999999998,243.9
877,in,243.9,244.3
878,an,244.3,244.7
879,undergraduate,244.7,245.1
880,program,245.1,245.66
881,in,245.66,245.92000000000002
882,computer,245.92000000000002,246.18
883,science,246.18,246.72
884,or,246.72,246.98000000000002
885,computer,246.98000000000002,247.36
886,engineering,247.36,247.88
887,or,247.88,248.2
888,a,248.2,248.38
889,similar,248.38,248.56
890,"field,",248.56,249.06
891,someone,249.45999999999998,249.51999999999998
892,spends,249.51999999999998,249.94
893,much,249.94,250.36
894,more,250.36,250.64
895,time,250.64,251.0
896,learning,251.0,251.3
897,about,251.3,251.56
898,the,251.56,251.82
899,field,251.82,252.04000000000002
900,itself,252.04000000000002,252.44
901,than,252.44,252.6
902,about,252.6,252.92000000000002
903,programming,252.92000000000002,253.3
904,specifically.,253.3,253.94
905,So,254.36,254.44
906,as,254.44,254.7
907,"such,",254.7,254.92000000000002
908,you,254.92000000000002,255.06
909,might,255.06,255.3
910,study,255.3,255.54000000000002
911,not,255.54000000000002,255.76
912,only,255.76,255.98000000000002
913,a,255.98000000000002,256.08
914,bit,256.08,256.15999999999997
915,of,256.15999999999997,256.4
916,"programming,",256.4,256.8
917,but,256.96,257.18
918,also,257.18,257.46
919,"mathematics,",257.46,257.92
920,certain,258.12,258.36
921,fundamentals,258.36,258.86
922,that,258.86,259.38
923,transcend,259.38,259.88
924,the,259.88,260.5
925,particular,260.5,260.88
926,classes,260.88,261.22
927,you,261.22,261.38
928,might,261.38,261.5
929,have,261.5,261.6
930,taken,261.6,261.8
931,in,261.8,262.06
932,middle,262.06,262.2
933,school,262.2,262.46
934,or,262.46,262.64
935,high,262.64,262.88
936,"school,",262.88,263.08
937,but,263.08,263.34000000000003
938,that,263.34000000000003,263.48
939,can,263.48,263.6
940,be,263.6,263.78
941,used,263.78,264.0
942,to,264.0,264.2
943,solve,264.2,264.58
944,random,264.58,264.94
945,real,264.94,265.24
946,world,265.24,265.64
947,problems.,265.64,266.04
948,You,266.28,266.28
949,might,266.28,266.52
950,learn,266.52,266.78
951,something,266.78,267.06
952,about,267.06,267.44
953,"networks,",267.44,267.88
954,how,267.96,268.1
955,you,268.1,268.15999999999997
956,can,268.15999999999997,268.32
957,send,268.32,268.54
958,information,268.54,268.92
959,from,268.92,269.2
960,point,269.2,269.44
961,A,269.44,269.58
962,to,269.58,269.76
963,point,269.76,269.94
964,B.,269.94,270.32
965,You,270.4,270.44
966,might,270.44,270.64
967,learn,270.64,270.8
968,about,270.8,271.14
969,"graphics,",271.14,271.54
970,how,271.72,271.76
971,you,271.76,271.82
972,can,271.82,271.96
973,display,271.96,272.42
974,things,272.42,272.8
975,on,272.8,272.98
976,the,272.98,273.2
977,screen,273.2,273.44
978,or,273.44,273.56
979,even,273.56,273.84000000000003
980,create,273.84000000000003,274.15999999999997
981,interactive,274.15999999999997,274.65999999999997
982,animations,274.65999999999997,275.26
983,or,275.26,275.52
984,the,275.52,275.62
985,like.,275.62,275.8
986,You,275.88,276.0
987,might,276.0,276.26
988,learn,276.26,276.52
989,how,276.52,276.72
990,to,276.72,276.82
991,leverage,276.82,277.14
992,certain,277.14,277.42
993,ideas,277.42,277.86
994,from,277.86,278.18
995,mathematics,278.18,278.62
996,and,278.62,278.96000000000004
997,other,278.96000000000004,279.2
998,fields,279.2,279.46000000000004
999,to,279.46000000000004,279.68
1000,implement,279.68,279.91999999999996
1001,your,279.91999999999996,280.15999999999997
1002,very,280.15999999999997,280.38
1003,own,280.38,280.65999999999997
1004,artificial,280.65999999999997,281.26
1005,intelligence,281.26,282.03999999999996
1006,"nowadays,",282.03999999999996,282.56
1007,whereby,282.98,283.15999999999997
1008,you,283.15999999999997,283.48
1009,use,283.48,283.76
1010,probability,283.76,284.38
1011,and,284.38,285.02
1012,statistics,285.02,285.6
1013,and,285.6,286.1
1014,information,286.1,286.53999999999996
1015,more,286.53999999999996,286.91999999999996
1016,generally,286.91999999999996,287.24
1017,to,287.24,287.46000000000004
1018,try,287.46000000000004,287.76
1019,to,287.76,287.8
1020,predict,287.8,288.28
1021,what,288.28,288.64
1022,a,288.64,288.94
1023,intelligent,288.94,289.65999999999997
1024,"individual,",289.65999999999997,290.48
1025,or,290.48,290.86
1026,in,290.86,290.91999999999996
1027,this,290.91999999999996,291.1
1028,"case,",291.1,291.3
1029,computer,291.48,291.62
1030,might,291.62,292.18
1031,say,292.18,292.4
1032,in,292.4,292.56
1033,response,292.56,292.96000000000004
1034,to,292.96000000000004,293.18
1035,a,293.18,293.32
1036,question.,293.32,293.6
1037,So,293.6,293.91999999999996
1038,computer,293.91999999999996,294.14
1039,science,294.14,294.78
1040,itself,294.78,295.03999999999996
1041,is,295.03999999999996,295.26
1042,a,295.26,295.4
1043,very,295.4,295.74
1044,broad,295.74,296.14
1045,field,296.14,296.41999999999996
1046,and,296.41999999999996,296.74
1047,programming,296.74,297.03999999999996
1048,is,297.03999999999996,297.32
1049,really,297.32,297.48
1050,just,297.48,297.72
1051,a,297.72,297.88
1052,tool,297.88,298.28
1053,that,298.28,298.52
1054,you,298.52,298.58000000000004
1055,tend,298.58000000000004,298.72
1056,to,298.72,298.91999999999996
1057,learn,298.91999999999996,299.48
1058,along,299.48,299.8
1059,the,299.8,299.98
