,text,start,end
131,"all,",47.24,47.24
132,how,47.28,47.38
133,does,47.38,47.44
134,it,47.44,47.56
135,feel,47.56,47.68
136,to,47.68,47.88
137,be,47.88,48.06
138,out?,48.06,48.56
139,A,49.96,50.28
140,lot,50.28,50.38
141,of,50.38,50.46
142,people,50.46,50.62
143,keep,50.62,50.8
144,asking,50.8,51.04
145,me,51.04,51.32
146,"that,",51.32,51.7
147,and,51.94,52.08
148,I,52.08,52.2
149,really,52.2,52.36
150,don't,52.36,52.54
151,have,52.54,53.24
152,a,53.24,53.6
153,good,53.6,53.74
154,answer.,53.74,54.08
155,I,55.68,56.28
156,obviously,56.28,56.88
157,have,56.88,57.18
158,a,57.18,57.36
159,sense,57.36,57.5
160,of,57.5,57.68
161,relief,57.68,58.06
162,that,58.06,58.62
163,I'm,58.62,59.06
164,home,59.06,59.4
165,and,59.4,59.5
166,I'm,59.5,59.64
167,with,59.64,59.78
168,my,59.78,59.98
169,family.,59.98,60.3
170,And,63.4,63.4
171,feel,63.4,63.86
172,safe,63.86,64.26
173,for,64.26,64.4
174,the,64.4,64.52
175,first,64.52,64.74
176,time,64.74,65.06
177,in,65.06,65.5
178,26,65.5,65.72
179,"days,",65.72,66.4
180,and,67.0,67.34
181,I'm,67.34,67.94
182,having,67.94,67.96
183,a,67.96,68.16
184,really,68.16,68.38
185,hard,68.38,68.62
186,time,68.62,69.16
187,finding,69.16,69.78
188,any,69.78,70.28
189,joy,70.28,70.74
190,in,70.74,70.88
191,any,70.88,71.08
192,of,71.08,71.28
193,"it,",71.28,71.76
194,because,72.74000000000001,73.34
195,me,73.34,73.52
196,being,73.52,73.88
197,safe,73.88,74.16
198,is,74.16,74.36
199,the,74.36,74.5
200,result,74.5,74.76
201,of,74.76,75.0
202,having,75.0,75.26
203,to,75.26,75.34
204,leave,75.34,75.48
205,people,75.48,75.72
206,behind.,75.72,76.1
207,People,76.7,76.96
208,watching,76.96,77.28
209,this,77.28,77.58
210,have,77.58,78.3
211,seen,78.3,78.64
212,images,78.64,78.98
213,from,78.98,79.28
214,Gaza.,79.28,79.56
215,They've,80.26,80.7
216,seen,80.7,80.84
217,the,80.84,81.02
218,hospital,81.02,81.26
219,images.,81.26,81.68
220,They've,81.68,81.96
221,seen,81.96,82.98
222,the,82.98,83.6
223,horror,83.6,83.82
224,of,83.82,83.98
225,children,83.98,84.36
226,dead,84.36,85.42
227,day,85.42,86.82
228,after,86.82,87.02
229,day,87.02,87.44
230,after,87.44,87.44
231,day,87.44,87.68
232,after,87.68,87.82
233,day.,87.82,88.7
234,I,88.76,88.78
235,"mean,",88.78,89.32
236,they've,89.32,89.52
237,seen,89.52,89.74
238,all,89.74,90.08
239,the,90.08,90.28
240,"images,",90.28,90.88
241,but,92.28,92.38
242,to,92.38,92.46
243,actually,92.46,92.64
244,be,92.64,92.86
245,there,92.86,93.14
246,and,93.14,93.26
247,to,93.26,93.4
248,experience,93.4,93.76
249,"it,",93.76,94.0
250,you're,94.02,94.28
251,experiencing,94.28,94.58
252,all,94.58,94.92
253,these,94.92,95.08
254,things,95.08,95.34
255,which,95.34,95.56
256,a,95.56,95.74
257,camera,95.74,95.92
258,can,95.92,96.18
259,never,96.18,96.38
260,capture.,96.38,97.0
261,So,97.76,97.9
262,can,97.9,98.04
263,you,98.04,98.08
264,just,98.08,98.28
265,talk,98.28,98.46
266,a,98.46,98.62
267,little,98.62,98.82
268,bit,98.82,99.08
269,about,99.08,100.64
270,what,100.64,101.98
271,"Stan,",101.98,102.58
272,when,102.66,102.74
273,you,102.74,102.88
274,close,102.88,103.04
275,your,103.04,103.2
276,eyes,103.2,103.36
277,and,103.36,103.48
278,"night,",103.48,103.66
279,what,103.66,103.82
280,does,103.82,103.94
281,it,103.94,104.06
282,you,104.06,104.14
283,think,104.14,104.34
284,about,104.34,104.64
285,now?,104.64,106.1
286,I,109.5,109.9
287,think,109.9,110.3
288,the,110.3,111.94
289,answer,111.94,112.06
290,to,112.06,112.26
291,that,112.26,112.48
292,"question,",112.48,112.98
293,I,113.04,113.44
294,think,113.44,113.44
295,I'll,113.44,113.74
296,start,113.74,113.9
297,at,113.9,114.12
298,"KYTC,",114.12,114.74
299,which,114.94,115.3
300,was,115.3,115.62
301,we,115.62,116.02
302,were,116.02,116.24
303,relocated,116.24,116.6
304,about,116.6,116.98
305,five,116.98,117.24
306,times,117.24,117.52
307,over,117.52,117.7
308,the,117.7,117.82
309,course,117.82,117.98
310,of,117.98,118.24
311,26,118.24,118.46
312,days,118.46,118.86
313,due,118.86,119.0
314,to,119.0,119.18
315,security,119.18,119.46
316,concerns.,119.46,119.86
317,And,121.04,121.16
318,one,121.16,121.28
319,of,121.28,121.36
320,the,121.36,121.48
321,places,121.48,121.72
322,we,121.72,122.0
323,wound,122.0,122.14
324,up,122.14,122.42
325,was,122.42,122.9
326,the,122.9,123.3
327,Hoon,123.3,123.48
328,-Uness,123.48,124.12
329,Training,124.12,124.4
330,"Center,",124.4,124.74
331,we,124.84,124.88
332,call,124.88,125.0
333,it,125.0,125.14
334,KYTC.,125.14,125.62
335,That's,125.64,125.82
336,when,125.82,125.94
337,people,125.94,126.08
338,had,126.08,126.22
339,evacuated,126.22,126.5
340,to,126.5,126.86
341,the,126.86,126.96
342,"South,",126.96,127.12
343,so,127.26,127.3
344,you,127.3,127.32
345,were,127.32,127.4
346,in,127.4,127.56
347,the,127.56,127.64
348,South,127.64,127.84
349,of,127.84,127.94
350,Gaza.,127.94,128.18
351,"Yeah,",128.26,128.26
352,so,128.3,128.34
353,when,128.34,128.44
354,we,128.44,128.54
355,went,128.54,128.8
356,to,128.8,129.2
357,"Boulo,",129.2,129.76
358,what,129.78,129.9
359,do,129.9,130.0
360,you,130.0,130.0
361,guys,130.0,130.16
362,align?,130.16,130.54
363,And,130.54,131.68
364,by,131.68,132.82
365,the,132.82,133.0
366,time,133.0,133.16
367,we,133.16,133.3
368,left,133.3,133.44
369,"there,",133.44,133.7
370,there,133.78,133.78
371,were,133.78,134.18
372,35,134.18,134.76
373,",000",134.76,135.44
374,internally,135.44,135.82
375,displaced,135.82,136.28
376,people,136.28,137.52
377,living,137.52,138.0
378,alongside,138.0,138.44
379,us.,138.44,138.82
380,There,139.42,139.42
381,were,139.42,140.34
382,children,140.34,140.72
383,with,140.72,141.9
384,just,141.9,142.34
385,massive,142.34,142.9
386,burns,142.9,143.34
387,down,143.34,143.68
388,their,143.68,143.88
389,"faces,",143.88,144.28
390,down,144.52,144.58
391,their,144.58,144.82
392,"necks,",144.82,145.3
393,all,145.42,145.62
394,over,145.62,145.78
395,their,145.78,146.02
396,limbs.,146.02,146.52
397,And,147.58,147.62
398,because,147.62,147.92
399,the,147.92,148.18
400,hospitals,148.18,148.38
401,are,148.38,148.66
402,so,148.66,148.86
403,"overwhelmed,",148.86,149.34
404,they,149.34,149.76
405,are...,149.76,149.76
406,are,150.0,150.12
407,being,150.12,150.38
408,discharged,150.38,150.96
409,immediately,150.96,151.62
410,"after,",151.62,152.22
411,and,152.64,152.8
412,they're,152.8,152.98
413,being,152.98,153.16
414,discharged,153.16,153.46
415,to,153.46,153.7
416,these,153.7,153.96
417,camps,153.96,154.3
418,with,154.3,155.36
419,no,155.36,155.7
420,access,155.7,155.98
421,to,155.98,156.22
422,running,156.22,156.44
423,water.,156.44,156.8
424,There's,156.9,157.06
425,50,157.06,157.44
426,",000",157.44,157.66
427,people,157.66,157.92
428,at,157.92,158.08
429,that,158.08,158.26
430,camp,158.26,158.44
431,now,158.44,158.6
432,in,158.6,158.8
433,four,158.8,159.0
434,toilets.,159.0,159.4
435,They're,159.92,160.1
436,given,160.1,160.28
437,two,160.28,160.56
438,hours,160.56,160.78
439,of,160.78,161.0
440,water,161.0,161.54
441,every,161.54,161.84
442,12,161.84,162.12
443,hours.,162.12,162.5
444,And,163.48,163.5
445,-,163.5,163.5
446,We're,163.5,163.7
447,toilets,163.7,164.0
448,for,164.0,164.18
449,50,164.18,164.56
450,",000",164.56,164.86
451,people.,164.86,165.1
452,Yes.,165.12,165.58
453,And,166.52,166.72
454,that's,166.72,166.88
455,where,166.88,167.02
456,we,167.02,167.12
457,were,167.12,167.26
458,living,167.26,167.48
459,too.,167.48,167.94
460,And,167.94,168.38
461,they,168.38,168.54
462,have,168.54,168.76
463,these,168.76,169.16
464,"fresh,",169.16,169.66
465,open,169.66,170.14
466,burns,170.14,170.56
467,and,170.56,170.86
468,wounds,170.86,171.26
469,and,171.26,171.9
470,partial,171.9,172.18
471,amputations,172.18,173.02
472,that,173.02,173.42000000000002
473,are,173.42000000000002,173.62
474,just,173.62,173.88
475,walking,173.88,174.18
476,around,174.18,174.46
477,these,174.46,174.74
478,conditions.,174.74,175.24
479,And,175.9,176.46
480,parents,176.46,176.92000000000002
481,are,176.92000000000002,177.26
482,bringing,177.26,177.57999999999998
483,their,177.57999999999998,177.82
484,children,177.82,178.14
485,to,178.14,178.26
486,"us,",178.26,178.46
487,and,178.46,178.78
488,"please,",178.78,179.04
489,can,179.14,179.22
490,you,179.22,179.4
491,help?,179.4,179.68
492,"Please,",179.68,179.94
493,can,180.0,180.1
494,you,180.1,180.28
495,help?,180.28,180.6
496,And,181.04,181.16
497,we,181.16,181.28
498,have,181.28,181.32
499,no,181.32,181.48
500,supplies.,181.48,182.04
501,When,182.84,183.28
502,in,183.28,183.72
503,situations,183.72,184.18
504,where,184.18,185.02
505,there,185.02,185.14
506,are,185.14,185.54
507,tens,185.54,185.68
508,of,185.68,185.86
509,thousands,185.86,186.1
510,of,186.1,186.3
511,"people,",186.3,186.74
512,and,186.98,187.44
513,it,187.44,187.57999999999998
514,is,187.57999999999998,187.76
515,a,187.76,187.92000000000002
516,"war,",187.92000000000002,188.38
517,and,188.5,189.1
518,people,189.1,189.32
519,don't,189.32,190.04
520,can't,190.04,190.24
521,feed,190.24,190.36
522,their,190.36,190.56
523,"kids,",190.56,191.28
524,things,191.72,191.9
525,get,191.9,193.38
526,strange,193.38,193.7
527,very,193.7,193.92000000000002
528,"fast,",193.92000000000002,194.28
529,and,194.4,194.52
530,things,194.52,194.74
531,get,194.74,195.07999999999998
532,tough,195.07999999999998,195.32
533,"very,",195.32,195.54
534,very,195.54,195.78
535,"fast,",195.78,196.12
536,and,196.12,196.26
537,people,196.26,196.46
538,turn,196.46,196.66
539,on,196.66,196.8
540,each,196.8,196.98
541,"other,",196.98,197.28
542,you,197.62,197.82
543,saw,197.82,198.0
544,that,198.0,198.26
545,up,198.26,198.48
546,close.,198.48,199.0
547,At,200.14,200.26
548,"KYTC,",200.26,200.82
549,we,201.22,201.22
550,were,201.22,202.56
551,the,202.56,202.7
552,reason,202.7,202.9
553,we,202.9,203.07999999999998
554,had,203.07999999999998,203.22
555,to,203.22,203.28
556,leave,203.28,203.46
557,was,203.46,203.64
558,because,203.64,203.92000000000002
559,we,203.92000000000002,204.0
560,were,204.0,204.12
561,starting,204.12,204.34
562,to,204.34,204.52
563,be,204.52,204.68
564,harassed.,204.68,205.26
565,"People,",206.2,206.76
566,desperate,207.26,207.48
567,people,207.48,208.74
568,who,208.74,209.44
569,are,209.44,210.4
570,losing,210.4,210.64
571,loved,210.64,210.92000000000002
572,ones,210.92000000000002,211.16
573,right,211.16,211.36
574,and,211.36,211.54
575,left,211.54,212.04
576,are,212.04,212.48
577,angry.,212.48,212.82
578,And,214.07999999999998,214.24
579,they,214.24,214.57999999999998
580,would,214.57999999999998,214.78
581,point,214.78,214.92000000000002
582,at,214.92000000000002,215.06
583,me,215.06,215.44
584,and,215.44,215.74
585,"scream,",215.74,216.01999999999998
586,"American,",216.1,216.56
587,walking,217.01999999999998,217.14
588,past.,217.14,217.62
589,And,217.7,217.76
590,at,217.76,217.88
591,that,217.88,218.06
592,"point,",218.06,218.28
593,we,218.34,218.36
594,had,218.36,218.5
595,no,218.5,218.7
596,idea,218.7,218.92000000000002
597,what,218.92000000000002,219.07999999999998
598,was,219.07999999999998,219.98000000000002
599,coming,219.98000000000002,220.42000000000002
600,in,220.42000000000002,220.8
601,the,220.8,220.95999999999998
602,next,220.95999999999998,221.07999999999998
603,few,221.07999999999998,221.28
604,days.,221.28,221.56
605,And,222.82,223.04000000000002
606,they,223.04000000000002,223.28
607,would,223.28,223.44
608,yell,223.44,223.98000000000002
609,things,223.98000000000002,224.44
610,in,224.44,224.6
611,Hebrew,224.6,224.86
612,to,224.86,225.07999999999998
613,see,225.07999999999998,225.3
614,if,225.3,225.4
615,we,225.4,225.51999999999998
616,were,225.51999999999998,225.66
617,Israeli.,225.66,226.38
618,They,226.9,227.12
619,accused,227.12,227.56
620,our,227.56,227.94
621,national,227.94,228.38
622,staff,228.38,228.82
623,of,228.82,229.66
624,either,229.66,229.82
625,being,229.82,230.14
626,traders,230.14,230.56
627,or,231.3,231.86
628,said,231.86,232.3
629,you're,232.3,233.12
630,pretending,233.12,233.42000000000002
631,to,233.42000000000002,233.74
632,be,233.74,233.95999999999998
633,Arab.,233.95999999999998,234.24
634,We,234.24,234.4
635,know,234.4,234.66
636,that,234.66,234.82
637,you're,234.82,235.14
638,just,235.14,235.32
639,pretending,235.32,235.68
640,to,235.68,235.95999999999998
641,be,235.95999999999998,236.1
642,Arab.,236.1,236.64
643,Stop,236.86,237.12
644,lying,237.12,237.44
645,to,237.44,237.66
646,us.,237.66,237.88
647,And,237.88,237.94
648,our,237.94,238.1
649,staff,238.1,238.32
650,had,238.32,238.57999999999998
651,to,238.57999999999998,238.72
652,defend,238.72,238.95999999999998
653,themselves.,238.95999999999998,239.32
654,And,239.32,239.48000000000002
655,we,239.48000000000002,239.7
656,said,239.7,239.82
657,to,239.82,239.94
658,them,239.94,240.14
659,over,240.14,240.38
660,and,240.38,240.5
661,over,240.5,240.64
662,"again,",240.64,241.36
663,you,241.38,241.92000000000002
664,don't,241.92000000000002,242.1
665,have,242.1,242.3
666,to,242.3,242.45999999999998
667,stay.,242.45999999999998,242.78
668,We,242.9,243.0
669,understand,243.0,243.5
670,if,243.5,243.7
671,you,243.7,243.82
672,want,243.82,243.95999999999998
673,to,243.95999999999998,244.06
674,leave,244.06,244.2
675,us.,244.2,244.48000000000002
676,And,244.48000000000002,244.62
677,they,244.62,244.78
678,said,244.78,245.0
679,you,245.0,245.18
680,are,245.18,245.32
681,family,245.32,245.6
682,"too,",245.6,245.88
683,and,245.88,245.95999999999998
684,we're,245.95999999999998,246.06
685,not,246.06,246.24
686,going,246.24,246.48000000000002
687,anywhere.,246.48000000000002,246.84
688,You're,247.07999999999998,247.42000000000002
689,"staffed,",247.42000000000002,247.74
690,the,248.07999999999998,248.44
691,Palestinians,248.44,248.86
692,who,248.86,249.14
693,work,249.14,249.44
694,for,249.44,250.0
695,MSF,250.0,250.42000000000002
696,for,250.42000000000002,250.5
697,Dr.,250.5,250.7
698,Without,250.76,250.95999999999998
699,Borders,250.95999999999998,251.18
700,were,251.18,251.54000000000002
701,concerned,251.54000000000002,252.01999999999998
702,about,252.01999999999998,252.57999999999998
703,your,252.57999999999998,252.86
704,safety.,252.86,253.28
705,We,253.62,253.88
706,would,253.88,254.01999999999998
707,have,254.01999999999998,254.18
708,died,254.18,254.56
709,within,254.56,254.8
710,a,254.8,254.92000000000002
711,week,254.92000000000002,255.07999999999998
712,without,255.07999999999998,255.38
713,them.,255.38,255.9
714,They,256.78,257.12
715,are,257.12,257.56
716,the,257.56,257.78
717,only,257.78,258.0
718,reason,258.0,258.24
719,we,258.24,258.46
720,are,258.46,258.64
721,alive.,258.64,258.92
722,It's,259.14,259.56
723,incredible,259.56,259.8
724,that,259.8,260.44
725,this,260.44,261.58
726,took,261.58,261.92
727,so,261.92,262.38
728,long,262.38,262.8
729,to,262.8,262.96
730,get,262.96,263.96
731,"Americans,",263.96,265.06
732,sick,265.82,265.9
733,"people,",265.9,266.9
734,start,266.9,267.58
735,to,267.58,267.92
736,move,267.92,268.12
737,through,268.12,268.36
738,that,268.36,268.54
739,rough,268.54,268.7
740,abort,268.7,268.94
741,across.,268.94,269.24
742,It's,270.15999999999997,270.6
743,inexplicable.,270.6,271.0
744,And,271.1,271.32
745,we,271.32,271.46
746,were,271.46,271.8
747,desperate.,271.8,272.15999999999997
748,We,272.8,272.8
749,did,272.8,273.3
750,a,273.3,273.6
751,calorie,273.6,273.7
752,counts,273.7,274.06
753,at,274.06,274.18
754,one,274.18,274.32
755,point,274.32,274.52
756,based,274.52,274.74
757,on,274.74,274.86
758,our,274.86,275.04
759,supplies,275.04,275.4
760,and,275.4,275.65999999999997
761,figured,275.65999999999997,275.86
762,out,275.86,276.14
763,that,276.14,276.24
764,if,276.24,276.44
765,all,276.44,276.62
766,of,276.62,276.8
767,"us,",276.8,277.12
768,there's,277.2,277.34000000000003
769,50,277.34000000000003,277.56
770,people,277.56,277.88
771,with,277.88,278.06
772,us,278.06,278.22
773,living,278.22,278.4
774,in,278.4,278.58000000000004
775,a,278.58000000000004,278.7
776,parking,278.7,278.88
777,lot,278.88,279.12
778,now.,279.12,279.86
779,Only,280.24,280.36
780,"eight,",280.36,280.91999999999996
781,700,281.4,281.4
782,calories,281.4,281.86
783,a,281.86,282.08000000000004
784,day.,282.08000000000004,282.34000000000003
785,If,282.52,282.58000000000004
786,that's,282.58000000000004,282.82
787,all,282.82,282.96000000000004
788,we,282.96000000000004,283.12
789,"had,",283.12,283.56
790,we,283.6,283.76
791,had,283.76,284.0
792,two,284.0,284.15999999999997
793,days,284.15999999999997,284.36
794,of,284.36,284.5
795,food,284.5,284.68
796,left.,284.68,285.06
797,And,285.24,285.48
798,that's,285.48,285.74
799,it.,285.74,286.26
800,And,286.6,286.96000000000004
801,our,286.96000000000004,287.28
802,national,287.28,287.56
803,staff,287.56,288.3
804,took,288.3,288.68
805,off.,288.68,288.91999999999996
806,We,289.0,289.0
807,had,289.0,289.1
808,no,289.1,289.3
809,cell,289.3,289.5
810,service,289.5,289.72
811,at,289.72,289.96000000000004
812,that,289.96000000000004,290.15999999999997
813,point.,290.15999999999997,290.34000000000003
814,So,290.38,290.48
815,we,290.48,290.48
816,had,290.48,290.68
817,no,290.68,290.91999999999996
818,idea,290.91999999999996,291.46000000000004
819,what,291.46000000000004,291.96000000000004
820,had,291.96000000000004,292.12
821,happened,292.12,292.36
822,to,292.36,292.5
823,them.,292.5,292.6
824,There's,292.6,292.91999999999996
825,bombs,292.91999999999996,293.12
826,going,293.12,293.4
827,off,293.4,293.65999999999997
828,all,293.65999999999997,293.9
829,around,293.9,294.22
830,us,294.22,294.58000000000004
831,because,294.58000000000004,295.03999999999996
832,there's,295.03999999999996,295.34000000000003
833,no,295.34000000000003,295.58000000000004
834,safe,295.58000000000004,295.78
835,place,295.78,296.0
836,in,296.0,296.18
837,Gaza.,296.18,296.56
838,Even,297.34000000000003,297.34000000000003
839,getting,297.34000000000003,297.53999999999996
840,through,297.53999999999996,297.84000000000003
841,that,297.84000000000003,298.03999999999996
842,rough,298.03999999999996,298.18
843,abort,298.18,298.46000000000004
844,"across,",298.46000000000004,298.84000000000003
845,saying,299.26,299.5
846,what,299.5,299.64
847,was,299.64,299.8
848,that,299.8,299.98
849,like?,299.98,299.98
850,They,301.12,301.52
851,didn't,301.52,301.78
852,leave,301.78,301.98
853,our,301.98,302.16
854,side,302.16,302.32
855,for,302.32,302.46
856,a,302.46,302.64
857,second.,302.64,303.0
858,You're,303.0,303.4
859,the,303.4,303.58
860,national,303.58,303.88
861,staff.,303.88,304.18
862,The,304.26,304.62
863,national,304.62,304.62
864,staff.,304.62,304.74
865,They,305.04,305.24
866,feared,305.24,305.46
867,for,305.46,305.66
868,your,305.66,305.8
869,"safety,",305.8,306.26
870,even,306.32,306.58
871,at,306.58,306.84
872,the,306.84,306.98
873,border,306.98,307.16
874,crossing.,307.16,307.5
875,They,307.64,307.9
876,made,307.9,308.1
877,sure,308.1,308.26
878,they,308.26,308.38
879,were,308.38,308.54
880,"standing,",308.54,308.8
881,putting,308.9,309.02
882,us,309.02,309.56
883,and,309.56,309.76
884,desperate,309.76,309.96
885,people.,309.96,310.44
886,They,310.48,310.64
887,made,310.64,310.9
888,sure,310.9,311.16
889,that,311.16,311.34
890,they,311.34,311.48
891,were,311.48,311.64
892,talking,311.64,311.92
893,to,311.92,312.2
894,every,312.2,312.42
895,official,312.42,312.68
896,that,312.68,312.84
897,they,312.84,313.04
898,could,313.04,313.24
899,"find,",313.24,313.52
900,trying,313.54,313.8
901,to,313.8,313.92
902,push,313.92,314.1
903,us,314.1,314.34
904,"through,",314.34,314.52
905,trying,314.56,314.74
906,to,314.74,314.84
907,get,314.84,314.98
908,us,314.98,315.14
909,on,315.14,315.26
910,the,315.26,315.38
911,"bus,",315.38,315.54
912,trying,315.66,315.78
913,to,315.78,315.88
914,get,315.88,316.0
915,us,316.0,316.24
916,out.,316.24,316.44
917,And,316.54,316.54
918,we're,316.54,316.72
919,standing,316.72,316.96
920,there,316.96,317.2
921,and,317.2,317.2
922,we're,317.2,317.42
923,watching,317.42,317.82
924,these,317.82,318.7
925,incredible,318.7,319.2
926,men,319.2,319.66
927,who,319.66,319.86
928,have,319.86,320.1
929,sacrificed,320.1,320.54
930,everything,320.54,321.28
931,for,321.28,321.68
932,"us,",321.68,321.94
933,who,322.04,322.04
934,have,322.04,322.24
935,sacrificed,322.24,322.48
936,time,322.48,322.9
937,with,322.9,323.04
938,their,323.04,323.2
939,"families,",323.2,323.5
940,their,323.66,323.88
941,own,323.88,324.08
942,physical,324.08,324.38
943,"safety,",324.38,324.88
944,their,324.92,325.2
945,own,325.2,325.5
946,water,325.5,325.84
947,supply.,325.84,326.26
948,They,326.26,326.42
949,were,326.42,326.56
950,giving,326.56,326.82
951,to,326.82,327.04
952,us.,327.04,327.58
953,And,327.58,328.14
954,we're,328.14,328.28
955,watching,328.28,328.52
956,them,328.52,328.88
957,fight,328.88,329.12
958,to,329.12,329.26
959,get,329.26,329.38
960,us,329.38,329.54
961,across,329.54,329.82
962,the,329.82,330.02
963,"border,",330.02,330.3
964,knowing,330.44,330.74
965,that,330.74,331.22
966,we,331.22,331.38
967,were,331.38,331.54
968,not,331.54,331.72
969,bringing,331.72,332.0
970,them,332.0,332.24
971,with,332.24,332.42
972,us.,332.42,333.36
973,And,333.94,334.0
974,they,334.0,334.3
975,"didn't,",334.3,334.94
976,they,334.94,334.94
977,didn't,334.94,335.4
978,waver.,335.4,335.82
979,Abraham,336.28,336.54
980,was,336.54,337.06
981,right,337.06,337.26
982,in,337.26,337.38
983,the,337.38,337.52
984,front,337.52,337.96
985,with,337.96,338.7
986,our,338.7,338.94
987,"passports,",338.94,339.3
988,fighting,339.6,339.88
989,so,339.88,340.12
990,hard,340.12,340.28
991,to,340.28,340.38
992,get,340.38,340.52
993,us,340.52,340.76
994,on.,340.76,341.2
995,And,341.2,341.56
996,we,341.56,341.9
997,get,341.9,342.24
998,to,342.24,342.6
999,Irish,342.6,342.86
1000,that,342.86,343.1
1001,night,343.1,343.32
1002,and,343.32,343.46
1003,find,343.46,343.7
1004,out,343.7,343.84000000000003
1005,his,343.84000000000003,344.0
1006,parents,344.0,344.26
1007,are,344.26,344.44
1008,dead.,344.44,344.78
1009,They,345.58,345.92
1010,were,345.92,346.08
1011,losing,346.08,346.38
1012,family,346.38,346.65999999999997
1013,members,346.65999999999997,347.18
1014,and,347.18,348.68
1015,friends.,348.68,349.46
1016,You,350.2,350.7
1017,said,350.7,351.02
1018,if,351.02,351.8
1019,it,351.8,352.0
1020,wasn't,352.0,352.18
1021,for,352.18,352.3
1022,your,352.3,352.4
1023,national,352.4,352.58
1024,"staff,",352.58,352.86
1025,you,352.94,353.0
1026,think,353.0,353.18
1027,you,353.18,353.32
1028,would,353.32,353.4
1029,have,353.4,353.52
1030,been,353.52,353.7
1031,killed.,353.7,354.38
1032,Mm,355.3,355.74
1033,-hmm.,355.74,355.9
1034,By,356.32,356.32
1035,people,356.32,356.64
1036,who,356.64,356.86
1037,were,356.86,357.04
1038,just,357.04,357.38
1039,desperate.,357.38,358.0
1040,We,358.6,358.76
1041,either,358.76,358.94
1042,would,358.94,359.08
1043,have,359.08,359.24
1044,starved,359.24,359.46
1045,to,359.46,359.6
1046,death,359.6,360.02
1047,or,360.02,360.64
1048,run,360.64,360.82
1049,out,360.82,361.0
1050,of,361.0,361.1
1051,water.,361.1,361.56
